ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
Punc Misc Misc	177	0	0	1	0	0	0
<s> Adv V	705	47	20	29	18987	447	22
Art N N	655	49	4	12	14300	235	19
N Prep V	493	53	12	16	16286	301	16
N Prep Misc	370	27	3	6	5256	65	5
<s> Adj Prep	0	7	4	3	0	33	0
Adv Num V	0	0	0	0	1110	0	0
V Art Prep	67	4	0	6	2081	42	2
Prep Art N	4213	354	61	102	145435	2429	126
V Pron Pron	302	14	5	6	4782	260	16
V Prep Pron	529	43	12	13	12600	358	21
Art Prep N	0	0	0	3	1251	29	0
Num Prep Prep	72	0	0	0	0	0	0
<s> Int Adj	0	7	2	0	0	0	0
Adv Adv Pron	174	10	0	0	2711	115	7
Misc Art N	153	6	0	5	1925	35	3
Prep Num </s>	453	8	2	0	2971	0	0
Num N N	164	7	5	0	2129	0	0
N Adv </s>	163	9	4	4	2896	108	8
Adj Misc Misc	454	8	5	0	1764	33	6
V Pron N	428	17	2	14	8291	258	16
Prep Adj Punc	0	6	0	0	0	0	0
Conj N Prep	193	22	4	6	6295	105	7
Misc Conj N	140	6	0	1	1249	0	0
Int V N	0	0	0	2	0	0	0
V Pron V	187	20	6	12	5764	159	12
<s> Num Adj	0	0	0	3	0	0	0
N V Prep	1199	94	20	13	41075	420	31
Adj Adv V	124	0	5	2	3060	76	3
<s> Int Adv	65	6	0	0	0	0	0
Num N V	597	51	8	31	17382	131	20
<s> N Adj	116	0	0	2	1402	194	2
N Prep Num	955	41	8	5	12763	98	10
Int </s> <s>	427	35	2	4	3615	163	3
Prep Art Conj	0	0	0	0	0	22	0
Num Conj V	0	0	2	0	0	0	0
Conj Misc N	74	0	0	0	0	0	0
V Adv Num	137	11	0	0	3534	36	4
N Num Prep	274	8	2	2	2279	0	5
Adv N Adj	0	0	0	0	0	21	0
Num Num </s>	0	5	3	0	0	0	0
Adj V Conj	219	30	4	11	7064	195	13
Prep Adv </s>	0	0	0	0	0	29	0
N Adv Prep	407	18	4	10	10302	168	16
Prep Misc Misc	356	15	2	0	1367	25	4
Art N Prep	3071	254	54	74	100226	1457	65
Prep Pron Adv	88	0	2	3	1865	66	3
Pron Prep Pron	199	18	4	3	3326	234	7
N Adv Art	239	15	6	2	4339	94	7
Prep Adv Adj	0	5	3	0	0	0	0
<s> Int Num	0	4	0	0	0	0	0
<s> Pron Prep	0	4	0	0	0	23	0
Int Misc N	0	12	0	0	0	0	0
Prep Adv Adv	62	0	2	0	1219	22	0
Prep Pron Adj	555	22	15	16	6810	357	17
Art Num </s>	0	0	0	1	0	0	0
Int Adv Art	0	0	0	0	0	0	2
Num Prep Art	216	5	0	5	4179	30	2
Misc V Pron	119	5	0	0	1489	29	2
Adv Misc V	0	0	1	0	0	0	0
Misc Pron V	0	0	2	0	0	39	2
<s> Int Art	0	0	2	0	0	0	0
<s> Prep Art	452	39	7	14	17460	236	20
Adj N Num	133	0	0	0	1211	0	0
N N Art	91	5	0	0	2134	25	0
V N N	133	5	0	0	2835	23	2
Num Adv </s>	0	0	2	0	0	0	0
Misc V Adj	0	0	0	0	0	0	2
Art Adv Prep	61	0	0	0	1714	51	0
Conj Prep Art	160	11	4	8	6081	118	5
Prep Num Conj	203	8	0	0	2757	0	5
Misc </s> <s>	1887	154	9	22	14538	197	24
Prep N </s>	687	57	9	26	17767	251	19
Adj Prep Conj	0	0	0	1	0	26	0
Adv Pron Pron	75	9	0	5	1214	73	2
Misc Prep Pron	87	0	2	2	0	0	0
<s> Misc Misc	132	11	0	0	0	0	0
V Num Adv	0	0	2	0	0	0	0
V Prep Conj	0	0	0	0	0	20	0
Adv V Pron	603	19	9	21	9674	404	18
Adj Adv Pron	0	0	0	2	0	38	0
V V Pron	242	24	8	10	5821	230	11
Misc N N	0	13	0	0	0	0	0
Prep N Adv	140	12	5	2	4882	79	2
N Adj Art	0	4	0	0	1161	31	0
Adj Prep Prep	121	6	3	3	1956	36	3
Adv Num Prep	0	0	0	2	0	0	0
Num Prep Adj	0	0	0	2	0	0	13
V Num Adj	0	8	0	0	0	0	2
V Adj Conj	82	7	5	0	3262	81	3
<s> Adv Conj	63	0	3	5	1002	76	0
Misc Num Num	0	0	2	0	0	0	0
Misc Adj N	0	0	0	0	0	0	2
<s> V Adv	0	0	0	0	0	41	2
Num V </s>	115	0	0	0	1656	0	2
Conj Adv </s>	65	5	3	0	1162	38	3
Adv Art Num	131	0	0	2	1314	0	4
Conj Adj Conj	0	0	0	0	0	25	0
Art Adv Conj	0	0	3	2	0	0	0
V Adv Art	388	18	7	9	8863	155	14
Num N Art	142	5	0	2	2530	20	0
Misc V Art	177	12	0	5	2826	0	2
V N Art	0	0	0	6	1666	24	0
Adj Int Conj	0	0	2	0	0	0	0
<s> Pron Pron	71	5	2	0	1540	92	2
Int Conj Adj	0	0	0	0	0	0	2
Num V Art	142	4	0	2	1511	0	3
Misc Conj Misc	367	7	2	3	1463	0	3
Misc Misc V	467	11	2	2	2145	38	5
Conj Art Prep	0	5	0	0	1179	24	3
Pron Num Prep	0	0	0	0	0	0	3
V N V	129	16	2	11	5656	101	6
<s> Int Int	340	35	2	0	1127	38	3
N Art N	394	33	10	8	14144	235	7
<s> Conj Prep	63	4	2	4	1139	50	2
Prep Misc V	83	0	0	0	2058	0	0
Misc Conj V	61	0	2	2	0	0	4
<s> Num </s>	101	0	0	0	0	0	14
Pron Adv Pron	101	0	0	5	1441	97	7
N Art V	0	4	0	2	1266	21	0
Art N V	1894	166	37	60	75042	1258	71
Prep Misc N	130	6	0	0	0	0	2
Prep Adj </s>	138	10	3	3	2844	52	6
Art N Num	239	10	5	6	3318	23	7
Int Adj V	0	0	1	0	0	0	0
Adv Misc </s>	0	6	0	0	0	0	0
Num V Pron	151	0	0	2	1244	0	0
V Adj Int	0	0	1	0	0	0	0
Int Int Misc	104	7	0	0	0	0	0
<s> <s> Prep	1380	126	19	42	36561	591	48
Adj V Art	192	6	9	7	5808	84	5
Prep Num Adj	147	11	5	0	2315	29	0
Conj Misc </s>	76	8	0	0	0	0	0
Adj </s> <s>	1331	63	30	55	24082	674	43
Conj Adv Adj	84	12	3	3	2464	62	8
Conj Adv Adv	200	10	3	11	4164	128	10
Pron Adv </s>	94	0	0	5	988	56	3
Misc Misc Punc	117	0	0	0	0	0	0
N Conj Pron	361	33	9	11	8397	301	13
<s> Prep Pron	253	18	2	5	4563	156	11
Misc Misc Prep	644	24	6	4	2645	26	3
Art Prep Pron	0	0	0	0	0	30	0
N Conj Conj	0	6	0	0	0	22	3
Adv Prep Num	206	6	3	0	3408	25	10
N N Misc	585	16	3	4	5210	28	9
V Adv Prep	427	26	7	6	13879	233	11
Prep Art Adv	0	0	2	2	1158	41	0
<s> V Art	0	5	4	0	0	26	0
<s> Conj Art	116	9	2	5	2964	92	11
Prep Art Adj	2068	143	63	64	62960	1082	63
Misc Pron N	0	0	0	2	0	0	0
<s> <s> Conj	1081	55	16	48	14578	801	50
<s> V Prep	0	0	0	0	0	0	2
Misc Conj Art	0	0	0	0	1046	0	0
Num N Pron	73	9	0	0	1877	0	0
Prep Adj Num	0	0	0	0	969	0	0
Adv Pron N	245	15	4	9	4762	144	8
Adj V Adv	275	14	6	4	5974	112	8
Adv Pron V	148	20	0	5	3699	141	8
V Conj Prep	120	12	6	8	5293	104	0
Adj V Adj	95	9	6	4	2282	49	4
V Prep Prep	114	0	2	2	2549	35	2
<s> Punc Punc	0	4	0	0	0	0	0
Art Adj Conj	178	16	9	5	5391	119	11
<s> Adv Prep	116	5	2	2	2069	56	5
Prep Num N	789	55	13	13	17772	129	16
Pron Adj N	506	39	10	3	7007	313	13
Adv Adj Misc	0	0	0	0	0	0	3
Prep Num V	420	17	0	4	4946	34	5
Conj N </s>	130	16	7	0	2681	31	7
N Num Adj	0	4	0	0	0	0	0
Num V Prep	158	6	0	0	3001	0	2
Pron Adj V	245	29	8	5	6167	242	14
N Adv Num	0	0	0	5	1593	0	0
Num V Conj	64	0	0	0	1169	0	4
Prep N Art	97	5	2	2	3971	60	3
Adv Adv Adv	574	14	4	20	7738	286	20
Art Pron Adj	0	0	0	2	0	0	0
Prep Num Adv	94	0	0	0	0	0	0
N V Pron	799	40	9	39	16726	500	29
Pron V Conj	178	21	3	5	6864	252	15
Pron Art V	0	0	3	0	1088	43	3
Pron N Pron	92	8	6	4	1820	98	6
Pron Pron V	176	20	5	7	3755	191	13
Pron Art N	315	24	10	10	7815	253	16
Adv Adv Adj	430	13	4	18	7096	188	17
<s> <s> Punc	0	8	3	1	0	0	0
Art V Num	0	7	2	0	0	0	0
Prep N N	917	50	7	10	14838	154	22
Conj Int Pron	0	0	0	2	0	0	0
Prep Art </s>	0	4	0	0	1095	0	0
Adj Conj </s>	0	0	0	0	0	0	3
<s> <s> V	268	23	8	8	2439	240	14
<s> N Prep	177	78	3	6	3141	77	4
Misc Conj Pron	99	5	0	2	0	27	2
Misc Pron Misc	0	0	0	0	0	0	2
<s> <s> N	2520	211	28	32	34060	749	52
Art Adj Misc	155	0	6	1	2879	50	2
Conj V Art	124	8	3	3	3059	57	2
Pron Adv Num	0	4	2	0	0	0	0
Prep Art Pron	0	7	0	2	2008	61	0
Prep N V	695	87	16	22	28391	372	19
N Int V	0	0	0	1	0	0	0
Art Adj Art	0	6	3	3	1820	50	3
<s> Prep V	0	0	0	2	0	0	0
<s> Conj Adv	253	8	0	13	2320	127	12
Adv Conj Num	0	6	0	0	1012	0	2
Art N Misc	265	13	2	7	4808	63	6
Prep Misc Conj	0	0	0	0	0	0	2
Art Pron Adv	0	0	0	2	0	0	0
Conj Adv Num	0	0	0	0	0	0	3
Art V Prep	169	22	5	2	6460	106	8
Punc Punc </s>	0	4	0	0	0	0	0
<s> Prep N	341	41	4	11	8395	117	10
Adj Adj Conj	142	8	4	0	1946	62	3
N Conj </s>	0	0	0	2	0	0	0
Pron Pron Conj	0	0	0	0	0	35	0
Conj Num Adj	0	0	2	0	0	0	2
Pron Prep Adv	0	6	2	0	0	31	0
Adj Adj Adv	0	0	0	1	0	0	0
Conj Prep V	63	10	3	3	2182	73	2
Misc Art Adj	116	0	0	4	1196	23	3
V Adv </s>	72	6	2	2	1942	63	5
Int V Int	108	0	0	0	0	0	0
Misc Prep V	0	0	0	0	0	0	4
<s> Misc N	0	4	0	0	0	0	2
Prep Adv Num	0	0	3	1	984	0	0
Conj Prep Prep	0	0	2	0	0	0	0
Misc N Misc	157	7	0	0	0	0	4
Conj Prep N	150	5	2	0	3390	37	3
Pron Prep Adj	75	0	3	2	1487	53	0
Adj Pron </s>	0	0	0	2	0	0	0
V V V	245	60	15	13	14079	280	19
Pron V N	97	10	0	5	2350	87	2
V N </s>	69	6	2	6	2297	49	3
Pron Pron Prep	126	11	2	0	2075	136	5
V Prep Misc	83	0	0	0	1126	0	2
<s> N Art	0	22	1	0	1016	0	1
Num Conj Num	197	7	0	0	2783	0	7
<s> Prep Adv	0	0	0	2	0	0	0
Prep </s> <s>	569	22	8	12	7877	270	17
Misc Misc </s>	920	49	2	9	2518	44	14
V V N	82	6	2	7	2538	24	4
Adj Adj </s>	174	10	2	6	2122	67	5
Pron V V	337	39	8	11	10460	334	19
V Pron Conj	74	6	0	0	1476	89	0
<s> Adv Int	0	0	0	2	0	0	0
Pron Conj N	0	0	0	0	0	23	0
Adj N </s>	714	47	13	24	16315	339	27
Pron </s> <s>	346	23	8	10	6162	379	8
<s> N N	575	21	2	5	6308	45	10
<s> Adj N	269	19	0	10	4344	77	5
N Art Adj	305	29	9	13	8024	170	11
V V Art	127	37	6	9	5952	87	9
V Adv Misc	0	5	0	0	0	0	0
<s> Adj V	236	20	5	6	5762	115	5
Misc Prep Art	241	13	4	3	3166	35	2
Adj Conj Art	135	14	4	5	4425	85	4
Prep Misc </s>	199	20	2	5	2161	27	0
Pron Conj V	0	4	0	0	0	30	2
Int Misc </s>	0	5	0	0	0	0	0
Pron Prep Num	139	5	3	0	2115	22	2
Adv V Num	0	8	0	1	1168	0	0
Prep Conj Adv	0	0	0	0	0	0	2
Conj Adj V	118	9	0	5	3026	89	5
Art V </s>	0	0	2	0	0	42	3
Num Prep Conj	70	0	0	0	0	0	0
N Misc Art	68	0	0	4	1098	27	0
Conj V Adj	60	9	3	0	1363	37	3
V Num V	0	0	0	2	0	0	0
Conj V Adv	198	6	2	5	4513	83	8
N </s> <s>	4002	277	60	113	89161	1671	122
<s> N Adv	136	9	0	2	1136	43	3
Prep Num Art	89	0	0	0	1300	0	3
Conj Adj N	213	33	2	0	4466	61	9
Pron Conj Art	0	0	0	0	0	34	0
Prep V Prep	341	26	6	12	9248	136	10
N Misc Pron	64	0	0	0	0	20	2
N Misc Conj	176	5	4	0	2375	21	3
N V Art	767	74	18	23	26908	298	22
N Int Int	0	0	0	2	0	0	0
Prep V Conj	200	17	9	8	6972	188	7
Misc Punc Misc	150	0	0	0	0	0	0
V Num N	184	28	3	7	6020	45	4
Prep Conj Prep	91	0	0	0	0	0	4
Int Int </s>	101	22	0	0	0	0	0
Art Adj Prep	666	51	21	22	16369	365	18
Adj Art N	194	11	3	5	4806	106	8
Num N Adv	245	14	2	7	4714	53	6
Adj Num N	136	6	0	5	3890	26	4
Art Adj Num	62	0	6	0	1932	0	3
Prep Adj Pron	0	0	0	2	0	0	0
Adj Num V	0	0	2	0	0	0	0
<s> Adj </s>	0	0	2	2	0	0	1
Pron Adv Prep	328	16	7	8	5772	239	10
N N Adv	166	5	3	5	2927	52	7
Int Prep Art	0	0	0	1	0	0	0
Num N Adj	202	7	0	2	3938	29	4
Adv N Adv	0	0	2	0	0	0	0
Pron Adv Conj	0	5	0	5	1213	80	6
Pron N Prep	662	35	10	15	13116	405	17
Art V Pron	0	0	0	2	975	52	0
N Misc Adv	63	0	0	0	0	22	0
V Adv Pron	231	29	2	6	5102	158	5
V V Num	0	7	2	0	0	0	0
Conj Pron Pron	178	17	6	5	3576	246	3
Adv Adj V	269	25	11	15	7855	219	14
V Adj Num	0	4	0	3	0	0	0
Art N </s>	863	56	8	25	27980	513	27
<s> <s> Pron	1731	126	39	72	45256	1634	82
Conj Adv Art	101	5	0	4	2515	85	6
Adv Adj N	187	15	3	6	4247	92	6
N N Adj	105	0	0	2	1892	44	4
Prep Num Num	68	6	2	0	1874	0	2
Adj Pron Pron	0	0	3	3	0	45	3
Adv Conj Pron	124	8	2	6	2870	166	6
<s> Prep Adj	0	4	0	2	1334	27	3
Art Num Num	0	4	0	0	0	0	0
Num Misc Misc	88	0	0	0	0	0	0
Prep Adj Misc	0	4	0	0	0	0	0
