ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
Adv Int Art	0	0	0	1	0	0	0
Num Int Misc	0	0	1	0	0	0	0
Adv Art Adj	587	17	21	14	8953	244	16
N Pron Adj	102	10	2	0	2252	61	0
Pron Art Adv	0	0	0	0	0	44	3
N Misc </s>	394	47	2	5	4956	62	6
Pron Adj </s>	121	0	2	13	1933	79	2
Num Conj Art	0	0	2	0	0	0	2
<s> Conj N	86	6	2	0	1253	64	3
Adv N Num	0	0	0	1	0	0	0
Art Misc Adv	0	0	0	1	0	0	0
Adj Adj Adj	113	6	4	4	1306	39	3
<s> Int Pron	0	0	1	1	0	27	0
Int Conj Int	0	0	1	0	0	0	0
Misc Adv Prep	60	0	0	1	0	0	0
Art Adv V	61	0	1	0	1994	63	0
Pron Num N	184	14	3	7	2788	42	3
N Adj Conj	139	14	1	1	2856	51	3
Art V Art	64	0	0	2	2396	45	0
<s> Adv Art	83	0	1	3	2241	32	4
Adj Int Prep	0	0	0	3	0	0	0
Adj Adv Adj	100	4	5	2	1531	34	3
Adv Adj Prep	315	15	6	8	6012	158	10
N Prep Prep	310	18	8	20	6661	96	6
<s> Pron Int	0	0	0	0	0	25	0
Int Conj Pron	0	0	1	0	0	0	0
V Adj N	156	18	0	10	4600	77	12
Pron Adj Adj	256	6	3	3	1681	87	7
Conj V Prep	161	17	6	5	4679	87	8
V Art Adv	190	7	6	5	4355	101	3
N Prep Conj	145	7	1	4	2119	35	4
Prep N Num	548	8	1	1	3537	0	0
V Adj V	98	14	3	2	3732	82	3
Pron Adj Conj	85	8	1	4	1347	96	4
Pron Adj Adv	128	0	4	1	1659	93	5
V Art Adj	724	73	18	32	20653	376	22
N Misc Prep	200	13	2	1	2514	28	7
Adj Adv Adv	122	8	3	3	2008	68	8
N Punc Misc	0	0	0	1	0	0	0
Conj Adj Adj	59	5	1	2	1051	25	5
Pron Prep Art	398	32	6	8	10475	390	15
Misc Prep N	203	10	4	0	1583	0	1
Prep V Adj	0	0	1	2	0	21	2
Art Art N	0	0	3	0	0	26	0
Adv N V	65	12	1	2	2630	53	0
V Misc Conj	0	0	0	1	0	0	0
Art Num V	0	0	2	2	1986	0	4
Prep Adj Prep	78	8	3	1	2830	42	3
Adv N N	0	0	2	1	0	0	0
Adv Adj Conj	213	18	0	8	3916	108	9
Pron V </s>	148	24	6	13	3618	196	6
<s> N Conj	140	4	3	0	1560	47	5
Int Int Adv	0	0	1	0	0	0	0
Conj Adj Adv	0	0	1	1	0	24	2
Adj N Int	0	0	0	2	0	0	0
Misc Prep Num	157	6	1	1	0	0	0
Art V Adv	161	6	4	6	4374	88	0
Prep Pron V	239	28	6	7	7199	279	14
N Adv N	0	8	1	2	1521	21	0
Prep Adj V	146	24	10	4	4480	82	6
Adj N Art	100	11	4	7	3593	70	2
Adj Punc V	0	0	0	1	0	0	0
Adv Misc Int	0	0	1	0	0	0	0
Prep Adj N	407	45	11	12	13011	191	23
Adj Punc N	0	0	0	1	0	0	0
Adv Art Pron	0	0	0	1	0	0	0
Num N </s>	365	18	6	9	8413	68	6
Prep Pron N	1149	86	30	25	24383	875	38
Int Pron N	0	0	2	1	0	0	0
Conj </s> <s>	123	0	0	3	1658	68	6
V N Pron	0	0	3	0	1079	26	4
Adj Art Num	0	0	0	2	0	0	0
Adj Adv Art	84	0	4	1	1390	33	0
Prep Pron </s>	103	6	2	2	2461	235	5
<s> Adv Num	0	0	1	2	0	0	0
Adv Prep Pron	314	15	7	12	5857	268	14
Pron N Misc	102	5	0	0	1202	27	0
Int V Art	0	7	0	3	1282	25	0
Misc V Misc	86	0	0	0	1104	0	0
N Pron Art	70	13	3	1	2341	52	9
Num Adv V	0	0	1	0	0	0	0
Adv V Art	316	19	9	10	8964	158	11
V Num </s>	0	0	5	1	0	0	0
N Adv V	323	21	6	14	10058	190	13
Art V Adj	0	0	2	2	1966	37	2
Misc Punc Int	0	0	0	1	0	0	0
Misc N Adj	0	0	0	1	0	0	0
N Prep Art	2479	238	54	65	89059	1290	71
Adv Num Conj	0	0	0	0	0	0	3
V Adj Prep	153	18	5	3	4966	88	5
Adv Conj Adv	73	6	2	7	1978	77	0
Misc Art Num	0	0	1	1	0	0	2
Adj Punc </s>	0	6	0	0	0	0	0
Conj Prep Pron	95	7	3	3	1858	69	2
Adv Pron </s>	0	0	0	1	0	21	0
Misc Misc Pron	188	5	1	1	0	25	0
Prep Pron Prep	147	11	4	2	3014	89	6
Misc N Adv	0	0	0	1	0	0	0
Adj Art Adj	135	9	5	3	3009	93	8
Adv Conj Adj	61	5	0	1	1002	32	4
